аарон	1.4933206468154582E-6
абажур	8.229149947344758E-6
абакан	1.8851849300223514E-6
абалкин	1.601348097861683E-5
абатуров	1.8110484440102365E-6
аббревиатура	1.5568662062544139E-6
абвер	1.292093041925432E-6
абердин	4.278734335556348E-6
аберрация	3.1772779719477836E-6
абзац	8.292695506783715E-6
абитуриент	1.5568662062544139E-6
абонемент	1.1650019230475206E-6
абонент	3.6326878145936325E-6
абориген	1.1152245681536719E-5
аборт	1.0368517115122932E-5
абразив	4.607053059324285E-6
абракадабра	1.292093041925432E-6
абрамова	3.823324492910499E-6
абрамский	1.2285474824864763E-6
абрек	4.088097657239481E-6
абрикос	5.1260084614090905E-6
абрикосовый	1.6204117656933695E-6
абсолют	1.4297750873765025E-6
абсолютно	7.467662326734607E-5
абсолютный	3.130677895025882E-5
абстрактный	1.0760381398329826E-5
абстракция	2.3935494055339967E-6
абсурд	7.32892118862622E-6
абсурдность	1.2285474824864763E-6
абсурдный	5.4437362586038685E-6
абсцесс	7.646648985820998E-6
абхазец	3.1137324125088277E-6
абхазия	5.507281818042825E-6
абхазски	2.20291272721713E-6
абхазский	4.0245520978005255E-6
абы	1.6204117656933695E-6
авангард	3.3679146502646508E-6
авангардный	1.1650019230475206E-6
аванс	9.658925034721261E-6
авансцена	2.3300038460950412E-6
авантюра	7.127693583736195E-6
авантюрист	6.291010384456612E-6
авантюрный	1.6204117656933695E-6
аварец	1.7475028845712808E-6
аварийный	1.0304971555683977E-5
авария	1.8735349107918764E-5
август	6.042123609987368E-5
августейший	1.2285474824864763E-6
августовский	5.253099580287002E-6
авеню	1.9487304894613073E-6
авиакомпания	3.950415611788411E-6
авиаконструктор	1.1650019230475206E-6
авиалиния	1.6839573251323254E-6
авиатор	2.3935494055339967E-6
авиационный	1.4520160331801372E-5
авиация	3.306487276140326E-5
авитаминоз	1.4297750873765025E-6
авось	9.53183391584335E-6
авоська	8.36683199279583E-6
аврал	3.950415611788411E-6
аврора	6.291010384456612E-6
австралиец	4.861235297080109E-6
австралийский	6.02623722012763E-6
австралия	2.0292215314173176E-5
австриец	4.215188776117393E-6
австрийский	6.1639192655787E-6
австрия	7.847876590711026E-6
авто	6.672283741090345E-6
автобаза	4.607053059324285E-6
автобиографический	1.4933206468154582E-6
автобиография	2.78541368874089E-6
автобус	8.848719151874576E-5
автобусный	7.646648985820998E-6
автовокзал	1.4297750873765025E-6
автограф	7.974967709588936E-6
автозавод	1.292093041925432E-6
автокатастрофа	1.2285474824864763E-6
автоколонна	1.3662295279375469E-6
автолавка	1.2285474824864763E-6
автолюбитель	1.8110484440102365E-6
автомат	1.1039981859861231E-4
автоматизация	2.9125048076188014E-6
автоматизированный	2.0758216083392186E-6
автоматизм	2.139367167778174E-6
автоматика	3.823324492910499E-6
автоматически	1.996389659040524E-5
автоматический	1.6341799702384766E-5
автоматный	9.330606310953325E-6
автоматчик	8.49392311167374E-6
автомашина	9.658925034721261E-6
автомобилист	2.139367167778174E-6
автомобиль	8.82965548404289E-5
автомобильный	1.9709714352649415E-5
автомобильчик	1.8851849300223514E-6
автономия	1.4933206468154582E-6
автономный	5.644963863493896E-6
автоответчик	2.0758216083392186E-6
автопарк	1.4933206468154582E-6
автопилот	1.101456363608565E-6
автор	1.7004791705864538E-4
авторитарный	1.1650019230475206E-6
авторитет	3.248237179987951E-5
авторитетный	1.1406427919292542E-5
авторский	1.67230730590185E-5
авторство	2.467685891546112E-6
авторучка	7.710194545259955E-6
автосервис	1.2285474824864763E-6
автослесарь	1.101456363608565E-6
автостоянка	1.2285474824864763E-6
автострада	3.240823531386739E-6
автотранспорт	2.5947770104240234E-6
автоцентр	1.292093041925432E-6
ага	6.320664978861458E-5
агат	6.746420227102461E-6
агатовый	2.266458286656086E-6
